# Puzzle: puzzle_16x16
# Format: id north east south west
# Convention: bord extérieur = 0
# Large 16x16 puzzle (256 pieces)

1 1 2 0 0
2 1 3 0 0
3 4 2 0 0
4 2 4 0 0
5 1 6 1 0
6 1 7 4 0
7 1 8 1 0
8 1 8 5 0
9 1 9 2 0
10 1 10 3 0
11 1 11 4 0
12 1 12 3 0
13 1 12 5 0
14 1 13 3 0
15 4 7 1 0
16 4 14 2 0
17 4 15 5 0
18 4 16 5 0
19 4 10 4 0
20 4 11 4 0
21 4 17 3 0
22 4 18 1 0
23 4 18 5 0
24 4 19 1 0
25 4 13 1 0
26 2 6 4 0
27 2 6 2 0
28 2 7 2 0
29 2 14 2 0
30 2 8 2 0
31 2 15 4 0
32 2 9 4 0
33 2 16 2 0
34 2 17 2 0
35 2 18 2 0
36 2 19 3 0
37 2 20 2 0
38 2 21 4 0
39 2 13 3 0
40 1 2 0 4
41 2 3 0 2
42 3 4 0 2
43 4 5 0 2
44 5 6 0 2
45 6 6 0 1
46 6 7 0 1
47 6 8 0 2
48 6 9 0 1
49 6 10 0 1
50 7 11 0 4
51 7 12 0 4
52 7 5 0 1
53 7 13 0 4
54 7 14 0 1
55 7 15 0 4
56 7 8 0 4
57 7 16 0 1
58 7 17 0 4
59 7 18 0 1
60 7 19 0 4
61 6 6 8 14
62 6 9 11 17
63 6 10 19 13
64 6 11 10 12
65 6 12 20 15
66 6 14 19 13
67 6 15 12 18
68 6 17 21 13
69 8 6 16 18
70 8 8 10 14
71 8 9 18 12
72 8 11 18 17
73 8 13 10 19
74 8 16 14 16
75 8 18 17 13
76 8 19 13 21
77 9 6 15 13
78 9 9 11 13
79 9 10 21 16
80 9 11 18 12
81 9 14 19 20
82 9 15 20 14
83 9 16 21 18
84 9 20 19 17
85 10 6 19 15
86 10 7 12 19
87 10 9 17 17
88 10 10 12 14
89 10 11 19 16
90 10 12 21 18
91 10 13 21 17
92 10 17 14 14
93 11 6 17 18
94 11 8 13 18
95 11 9 12 19
96 11 10 13 14
97 11 11 17 16
98 11 12 19 17
99 11 14 19 19
100 11 15 21 17
101 12 6 15 16
102 12 8 21 13
103 12 9 20 17
104 12 10 20 16
105 12 11 14 18
106 12 12 14 19
107 12 13 21 19
108 12 14 21 17
109 13 6 16 14
110 13 7 17 14
111 13 8 16 15
112 13 11 20 16
113 13 12 17 15
114 13 13 20 19
115 13 14 20 18
116 13 20 21 18
117 14 6 13 19
118 14 9 19 16
119 14 10 17 16
120 14 11 16 19
121 14 13 19 16
122 14 15 21 19
123 14 17 21 19
124 14 20 20 17
125 15 6 19 19
126 15 8 17 18
127 15 9 19 16
128 15 11 20 17
129 15 12 19 17
130 15 16 20 19
131 15 17 20 19
132 15 21 20 18
133 16 6 20 19
134 16 7 14 18
135 16 8 17 16
136 16 9 14 17
137 16 11 20 20
138 16 12 17 17
139 16 14 21 19
140 16 17 21 17
141 17 6 21 18
142 17 7 18 15
143 17 8 20 17
144 17 9 18 18
145 17 10 21 19
146 17 11 18 18
147 17 12 20 19
148 17 13 21 18
149 18 6 14 18
150 18 7 20 17
151 18 8 19 20
152 18 9 15 18
153 18 10 17 18
154 18 11 20 19
155 18 13 20 19
156 18 14 20 19
157 19 6 17 20
158 19 7 16 16
159 19 8 20 20
160 19 9 16 19
161 19 10 18 18
162 19 11 17 19
163 19 12 18 20
164 19 15 21 20
165 20 6 13 19
166 20 7 18 18
167 20 8 17 20
168 20 9 21 20
169 20 10 19 18
170 20 11 18 21
171 20 13 21 21
172 20 14 20 20
173 21 6 18 20
174 21 7 15 19
175 21 8 19 21
176 21 9 16 20
177 21 10 13 19
178 21 11 19 21
179 21 13 20 20
180 21 16 21 20
181 5 6 9 13
182 5 8 16 14
183 5 9 15 12
184 5 10 13 16
185 5 11 15 14
186 5 12 19 15
187 5 14 21 16
188 5 17 19 18
189 1 6 6 15
190 1 7 8 14
191 1 9 11 12
192 1 10 11 14
193 1 11 13 15
194 1 12 17 16
195 1 14 19 18
196 1 16 17 18
197 3 6 13 16
198 3 7 8 15
199 3 8 9 14
200 3 9 13 12
201 3 10 15 14
202 3 12 17 17
203 3 16 20 15
204 3 19 21 18
205 4 6 9 16
206 4 7 9 15
207 4 8 13 16
208 4 9 11 14
209 4 10 13 16
210 4 11 13 17
211 4 14 21 17
212 4 19 20 19
213 5 6 12 16
214 5 7 15 14
215 5 8 14 16
216 5 10 16 15
217 5 13 18 18
218 5 15 18 17
219 5 18 20 17
220 5 19 21 19
221 6 7 9 16
222 6 8 12 16
223 6 10 13 16
224 6 12 14 17
225 6 13 15 17
226 6 15 20 17
227 6 16 19 17
228 6 20 21 19
229 7 6 14 17
230 7 7 12 16
231 7 9 15 17
232 7 10 17 17
233 7 11 15 17
234 7 13 17 18
235 7 15 19 18
236 7 20 20 18
237 8 6 11 17
238 8 7 14 17
239 8 8 12 18
240 8 10 16 17
241 8 12 18 18
242 8 14 20 18
243 8 15 19 19
244 8 20 21 20
245 9 6 14 18
246 9 7 13 18
247 11 11 13 21
248 11 17 18 17
249 11 18 17 13
250 11 19 20 13
251 17 17 21 12
252 17 18 12 18
253 18 12 20 19
254 19 20 13 20
255 19 21 20 21
256 12 21 13 21
