# Puzzle: puzzle_6x12
# Format: id north east south west
# Convention: bord extérieur = 0
# Medium complexity 6x12 puzzle (72 pieces)

1 4 19 22 21
2 21 4 22 4
3 21 1 0 5
4 22 21 4 22
5 21 4 4 21
6 17 0 0 9
7 22 22 4 21
8 21 21 21 22
9 21 22 4 4
10 21 4 4 4
11 21 4 22 22
12 0 13 17 0
13 4 4 22 22
14 21 21 21 22
15 4 21 21 19
16 4 21 22 22
17 4 22 22 22
18 22 4 4 4
19 5 0 9 22
20 13 0 5 4
21 19 21 21 21
22 4 4 22 22
23 21 21 22 22
24 13 0 17 21
25 21 21 21 4
26 21 22 22 19
27 0 17 22 1
28 22 4 4 4
29 0 1 22 5
30 22 4 22 4
31 21 22 4 4
32 9 0 9 21
33 21 4 21 22
34 22 4 21 21
35 4 4 21 22
36 21 5 0 5
37 21 5 0 5
38 4 21 4 4
39 21 4 22 21
40 22 4 22 22
41 1 22 5 0
42 4 9 0 1
43 4 19 21 21
44 22 13 0 13
45 21 1 0 13
46 4 21 4 22
47 21 5 0 9
48 4 4 21 22
49 17 4 1 0
50 4 17 0 5
51 21 4 22 22
52 0 9 4 1
53 4 17 0 1
54 0 17 21 13
55 21 4 21 4
56 0 0 1 1
57 17 4 13 0
58 4 4 4 21
59 21 22 4 22
60 9 0 1 22
61 22 9 0 5
62 17 21 5 0
63 22 21 22 21
64 21 9 0 13
65 0 13 22 9
66 21 22 4 22
67 13 0 13 19
68 21 22 21 4
69 0 13 17 0
70 22 21 21 22
71 4 17 0 5
72 13 0 9 22
