Nom_Fichier;spec1;spec2;spec3;spec4;Nombre_El
001;XTSA;;;;1
002;SATA;;;;1
003;GVSO;;;;1
004;SATT;;;;1
005;AASS;;;;1
007;STTA;;;;1
008;TSSS;;;;1
009;STAA;;;;1
010;SAAA;;;;1
011;ATTS;;;;1
013;TTAA;;;;1
014;TSSS;;;;1
015;XASS;;;;1
016;ASTT;;;;1
017;ATTT;;;;1
018;TAAA;;;;1
019;GBTV;;;;1
020;GVAL;;;;1
021;XSSS;;;;1
022;AATT;;;;1
023;SSTT;;;;1
024;GRSL;;;;1
025;ASSS;;;;1
026;STTX;;;;1
027;GRTO;;;;1
028;TAAA;;;;1
029;GOTV;;;;1
030;ATAT;;;;1
031;TAAS;;;;1
032;GBSB;;;;1
033;TSAS;;;;1
034;TASS;;;;1
035;STAA;;;;1
036;GVSV;;;;1
037;GVSV;;;;1
038;SAAA;;;;1
039;TSSA;;;;1
040;ATTT;;;;1
041;GOTV;;;;1
042;GOAB;;;;1
043;AXSS;;;;1
044;GLTL;;;;1
045;GLSO;;;;1
046;ASAT;;;;1
047;GBSV;;;;1
048;TAAS;;;;1
049;GRAO;;;;1
050;GVAR;;;;1
051;SATT;;;;1
052;GBAO;;;;1
053;GOAR;;;;1
054;GRSL;;;;1
055;ASAS;;;;1
057;GRAL;;;;1
058;SAAA;;;;1
059;STAT;;;;1
060;GOTB;;;;1
061;GVTB;;;;1
062;GRSV;;;;1
063;STST;;;;1
064;GLSB;;;;1
065;GLTB;;;;1
066;STAT;;;;1
067;GLXL;;;;1
068;TSAS;;;;1
070;SSTT;;;;1
071;GVAR;;;;1
072;GBTL;;;;1
