# Sauvegarde Eternity II
# Timestamp: 1764193699609
# Date: 2025-11-26_22-48-19
# Puzzle: eternity2_p04_ascending_border
# Dimensions: 16x16
# Depth: 56 (pièces placées par backtracking, hors fixes)
# Progress: 0,00000754% (estimation basée sur les 5 premières profondeurs)
# TotalComputeTime: 18334 ms (0h 00m 18s)

# ═══════════════════════════════════════════════════════════
# AFFICHAGE VISUEL DU PLATEAU (65 pièces: 9 fixes + 56 backtracking)
# ═══════════════════════════════════════════════════════════
#
#   1_3  24_0  19_0  20_0  33_0  60_0   8_0  25_0   6_0   7_0  15_0  31_0  16_0  26_0  32_0   3_0 
#  36_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    11_1 
#  45_3   .   208_3   .     .     .     .     .     .     .     .     .     .   255_3   .     5_1 
#  10_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    42_1 
#  46_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    48_1 
#  44_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    54_1 
#  34_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    39_1 
#  38_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    12_1 
#  52_3   .     .     .     .     .     .   139_0   .     .     .     .     .     .     .    50_1 
#  14_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    35_1 
#  37_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    41_1 
#   9_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    47_1 
#  27_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    53_1 
#  28_3   .   181_3   .     .     .     .     .     .     .     .     .     .   249_0   .    23_1 
#  29_3   .     .     .     .     .     .     .     .     .     .     .     .     .     .    40_1 
#   4_2  21_2  43_2  18_2  58_2  57_2  13_2  55_2  56_2  30_2  49_2  59_2  17_2  51_2  22_2   2_1 
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# PIÈCES FIXES (pré-placées au démarrage)
# ═══════════════════════════════════════════════════════════
#
# 9 pièces fixes (coins + hints - voir fichier de configuration)
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# ORDRE DE POSE (backtracking) - 56 pièces
# ═══════════════════════════════════════════════════════════
#
# Étape  Position    Pièce  Rotation
# ────── ─────────── ────── ────────
#    1   (14, 0)      29      3 (×90°)
#    2   (13, 0)      28      3 (×90°)
#    3   (12, 0)      27      3 (×90°)
#    4   (11, 0)       9      3 (×90°)
#    5   ( 0,14)      32      0 (×90°)
#    6   ( 0,13)      26      0 (×90°)
#    7   ( 0,12)      16      0 (×90°)
#    8   ( 0,11)      31      0 (×90°)
#    9   ( 0,10)      15      0 (×90°)
#   10   ( 0, 9)       7      0 (×90°)
#   11   ( 0, 8)       6      0 (×90°)
#   12   ( 0, 7)      25      0 (×90°)
#   13   ( 0, 6)       8      0 (×90°)
#   14   ( 1,15)      11      1 (×90°)
#   15   (15, 1)      21      2 (×90°)
#   16   ( 1, 0)      36      3 (×90°)
#   17   (10, 0)      37      3 (×90°)
#   18   ( 9, 0)      14      3 (×90°)
#   19   ( 8, 0)      52      3 (×90°)
#   20   ( 7, 0)      38      3 (×90°)
#   21   ( 6, 0)      34      3 (×90°)
#   22   ( 5, 0)      44      3 (×90°)
#   23   ( 4, 0)      46      3 (×90°)
#   24   ( 0, 5)      60      0 (×90°)
#   25   ( 0, 4)      33      0 (×90°)
#   26   ( 0, 3)      20      0 (×90°)
#   27   ( 2,15)       5      1 (×90°)
#   28   ( 3,15)      42      1 (×90°)
#   29   ( 4,15)      48      1 (×90°)
#   30   ( 5,15)      54      1 (×90°)
#   31   ( 6,15)      39      1 (×90°)
#   32   ( 7,15)      12      1 (×90°)
#   33   ( 8,15)      50      1 (×90°)
#   34   ( 9,15)      35      1 (×90°)
#   35   (10,15)      41      1 (×90°)
#   36   (11,15)      47      1 (×90°)
#   37   (12,15)      53      1 (×90°)
#   38   ( 3, 0)      10      3 (×90°)
#   39   ( 2, 0)      45      3 (×90°)
#   40   (15, 2)      43      2 (×90°)
#   41   (15,14)      22      2 (×90°)
#   42   (15,13)      51      2 (×90°)
#   43   (15,12)      17      2 (×90°)
#   44   (15,11)      59      2 (×90°)
#   45   (15,10)      49      2 (×90°)
#   46   (15, 3)      18      2 (×90°)
#   47   (15, 9)      30      2 (×90°)
#   48   (15, 8)      56      2 (×90°)
#   49   (15, 7)      55      2 (×90°)
#   50   (15, 4)      58      2 (×90°)
#   51   ( 0, 2)      19      0 (×90°)
#   52   ( 0, 1)      24      0 (×90°)
#   53   (14,15)      40      1 (×90°)
#   54   (15, 6)      13      2 (×90°)
#   55   (13,15)      23      1 (×90°)
#   56   (15, 5)      57      2 (×90°)
#
# ═══════════════════════════════════════════════════════════

# Fixed Pieces (row,col pieceId rotation) - pré-placées
0,0 1 3
0,15 3 0
2,2 208 3
2,13 255 3
8,7 139 0
13,2 181 3
13,13 249 0
15,0 4 2
15,15 2 1

# Placement Order (row,col pieceId rotation) - ordre chronologique du backtracking
14,0 29 3
13,0 28 3
12,0 27 3
11,0 9 3
0,14 32 0
0,13 26 0
0,12 16 0
0,11 31 0
0,10 15 0
0,9 7 0
0,8 6 0
0,7 25 0
0,6 8 0
1,15 11 1
15,1 21 2
1,0 36 3
10,0 37 3
9,0 14 3
8,0 52 3
7,0 38 3
6,0 34 3
5,0 44 3
4,0 46 3
0,5 60 0
0,4 33 0
0,3 20 0
2,15 5 1
3,15 42 1
4,15 48 1
5,15 54 1
6,15 39 1
7,15 12 1
8,15 50 1
9,15 35 1
10,15 41 1
11,15 47 1
12,15 53 1
3,0 10 3
2,0 45 3
15,2 43 2
15,14 22 2
15,13 51 2
15,12 17 2
15,11 59 2
15,10 49 2
15,3 18 2
15,9 30 2
15,8 56 2
15,7 55 2
15,4 58 2
0,2 19 0
0,1 24 0
14,15 40 1
15,6 13 2
13,15 23 1
15,5 57 2

# Placements (row,col pieceId rotation)
0,0 1 3
0,1 24 0
0,2 19 0
0,3 20 0
0,4 33 0
0,5 60 0
0,6 8 0
0,7 25 0
0,8 6 0
0,9 7 0
0,10 15 0
0,11 31 0
0,12 16 0
0,13 26 0
0,14 32 0
0,15 3 0
1,0 36 3
1,15 11 1
2,0 45 3
2,2 208 3
2,13 255 3
2,15 5 1
3,0 10 3
3,15 42 1
4,0 46 3
4,15 48 1
5,0 44 3
5,15 54 1
6,0 34 3
6,15 39 1
7,0 38 3
7,15 12 1
8,0 52 3
8,7 139 0
8,15 50 1
9,0 14 3
9,15 35 1
10,0 37 3
10,15 41 1
11,0 9 3
11,15 47 1
12,0 27 3
12,15 53 1
13,0 28 3
13,2 181 3
13,13 249 0
13,15 23 1
14,0 29 3
14,15 40 1
15,0 4 2
15,1 21 2
15,2 43 2
15,3 18 2
15,4 58 2
15,5 57 2
15,6 13 2
15,7 55 2
15,8 56 2
15,9 30 2
15,10 49 2
15,11 59 2
15,12 17 2
15,13 51 2
15,14 22 2
15,15 2 1

# Unused pieces
61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 
