# Sauvegarde Eternity II
# Timestamp: 1763546411265
# Date: 2025-11-19_11-00-11
# Puzzle: indice2_descending
# Dimensions: 6x12
# Depth: 72
# Progress: 8,85004471% (estimation basée sur les 5 premières profondeurs)
# TotalComputeTime: 267092 ms (0h 04m 27s)

# ═══════════════════════════════════════════════════════════
# AFFICHAGE VISUEL DU PLATEAU (72 pièces placées)
# ═══════════════════════════════════════════════════════════
#
#  44_3  56_0  67_0  61_0  17_0  36_0  59_0  23_0  22_0  37_0  47_0  28_0 
#  27_3  38_1  68_2  13_0  66_2  63_2  65_1  42_3  14_0   2_0   9_2  10_1 
#   1_3  64_2  51_1  40_1  48_0  39_3  70_0  58_0  31_3  11_0  25_0  18_1 
#  45_3  60_0  46_3  41_0  29_0  52_2  62_1  55_3   6_1  12_3  15_3  21_1 
#  16_3  24_0  33_2  26_1  34_1  50_2  43_0  19_1   3_2   5_1   8_0  20_1 
#  32_2  54_2  71_2  57_2  72_2  53_2  69_2  49_2  35_2  30_2   4_2   7_1 
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# PIÈCES FIXES (pré-placées au démarrage)
# ═══════════════════════════════════════════════════════════
#
# (aucune pièce fixe)
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# ORDRE DE POSE (backtracking) - 72 pièces
# ═══════════════════════════════════════════════════════════
#
# Étape  Position    Pièce  Rotation
# ────── ─────────── ────── ────────
#    1   ( 5,11)       7      1 (×90°)
#    2   ( 0,11)      28      0 (×90°)
#    3   ( 5, 0)      32      2 (×90°)
#    4   ( 0, 0)      44      3 (×90°)
#    5   ( 1,11)      10      1 (×90°)
#    6   ( 4, 0)      16      3 (×90°)
#    7   ( 1, 0)      27      3 (×90°)
#    8   ( 4,11)      20      1 (×90°)
#    9   ( 0,10)      47      0 (×90°)
#   10   ( 0, 9)      37      0 (×90°)
#   11   ( 5, 1)      54      2 (×90°)
#   12   ( 2,11)      18      1 (×90°)
#   13   ( 3,11)      21      1 (×90°)
#   14   ( 3, 0)      45      3 (×90°)
#   15   ( 2, 0)       1      3 (×90°)
#   16   ( 0, 1)      56      0 (×90°)
#   17   ( 0, 8)      22      0 (×90°)
#   18   ( 0, 7)      23      0 (×90°)
#   19   ( 0, 6)      59      0 (×90°)
#   20   ( 0, 5)      36      0 (×90°)
#   21   ( 5,10)       4      2 (×90°)
#   22   ( 0, 4)      17      0 (×90°)
#   23   ( 0, 3)      61      0 (×90°)
#   24   ( 0, 2)      67      0 (×90°)
#   25   ( 5, 9)      30      2 (×90°)
#   26   ( 5, 8)      35      2 (×90°)
#   27   ( 5, 7)      49      2 (×90°)
#   28   ( 5, 2)      71      2 (×90°)
#   29   ( 5, 6)      69      2 (×90°)
#   30   ( 5, 5)      53      2 (×90°)
#   31   ( 5, 3)      57      2 (×90°)
#   32   ( 5, 4)      72      2 (×90°)
#   33   ( 1,10)       9      2 (×90°)
#   34   ( 4, 8)       3      2 (×90°)
#   35   ( 4, 9)       5      1 (×90°)
#   36   ( 4,10)       8      0 (×90°)
#   37   ( 3, 8)       6      1 (×90°)
#   38   ( 3, 9)      12      3 (×90°)
#   39   ( 3,10)      15      3 (×90°)
#   40   ( 2,10)      25      0 (×90°)
#   41   ( 2, 9)      11      0 (×90°)
#   42   ( 2, 8)      31      3 (×90°)
#   43   ( 1, 8)      14      0 (×90°)
#   44   ( 1, 7)      42      3 (×90°)
#   45   ( 1, 9)       2      0 (×90°)
#   46   ( 1, 3)      13      0 (×90°)
#   47   ( 4, 3)      26      1 (×90°)
#   48   ( 4, 7)      19      1 (×90°)
#   49   ( 4, 1)      24      0 (×90°)
#   50   ( 4, 2)      33      2 (×90°)
#   51   ( 4, 4)      34      1 (×90°)
#   52   ( 3, 4)      29      0 (×90°)
#   53   ( 3, 3)      41      0 (×90°)
#   54   ( 2, 3)      40      1 (×90°)
#   55   ( 3, 2)      46      3 (×90°)
#   56   ( 2, 2)      51      1 (×90°)
#   57   ( 3, 1)      60      0 (×90°)
#   58   ( 2, 1)      64      2 (×90°)
#   59   ( 1, 2)      68      2 (×90°)
#   60   ( 1, 1)      38      1 (×90°)
#   61   ( 4, 6)      43      0 (×90°)
#   62   ( 4, 5)      50      2 (×90°)
#   63   ( 3, 5)      52      2 (×90°)
#   64   ( 3, 6)      62      1 (×90°)
#   65   ( 3, 7)      55      3 (×90°)
#   66   ( 2, 7)      58      0 (×90°)
#   67   ( 2, 6)      70      0 (×90°)
#   68   ( 1, 6)      65      1 (×90°)
#   69   ( 2, 5)      39      3 (×90°)
#   70   ( 1, 5)      63      2 (×90°)
#   71   ( 1, 4)      66      2 (×90°)
#   72   ( 2, 4)      48      0 (×90°)
#
# ═══════════════════════════════════════════════════════════

# Fixed Pieces (row,col pieceId rotation) - pré-placées

# Placement Order (row,col pieceId rotation) - ordre chronologique du backtracking
5,11 7 1
0,11 28 0
5,0 32 2
0,0 44 3
1,11 10 1
4,0 16 3
1,0 27 3
4,11 20 1
0,10 47 0
0,9 37 0
5,1 54 2
2,11 18 1
3,11 21 1
3,0 45 3
2,0 1 3
0,1 56 0
0,8 22 0
0,7 23 0
0,6 59 0
0,5 36 0
5,10 4 2
0,4 17 0
0,3 61 0
0,2 67 0
5,9 30 2
5,8 35 2
5,7 49 2
5,2 71 2
5,6 69 2
5,5 53 2
5,3 57 2
5,4 72 2
1,10 9 2
4,8 3 2
4,9 5 1
4,10 8 0
3,8 6 1
3,9 12 3
3,10 15 3
2,10 25 0
2,9 11 0
2,8 31 3
1,8 14 0
1,7 42 3
1,9 2 0
1,3 13 0
4,3 26 1
4,7 19 1
4,1 24 0
4,2 33 2
4,4 34 1
3,4 29 0
3,3 41 0
2,3 40 1
3,2 46 3
2,2 51 1
3,1 60 0
2,1 64 2
1,2 68 2
1,1 38 1
4,6 43 0
4,5 50 2
3,5 52 2
3,6 62 1
3,7 55 3
2,7 58 0
2,6 70 0
1,6 65 1
2,5 39 3
1,5 63 2
1,4 66 2
2,4 48 0

# Placements (row,col pieceId rotation)
0,0 44 3
0,1 56 0
0,2 67 0
0,3 61 0
0,4 17 0
0,5 36 0
0,6 59 0
0,7 23 0
0,8 22 0
0,9 37 0
0,10 47 0
0,11 28 0
1,0 27 3
1,1 38 1
1,2 68 2
1,3 13 0
1,4 66 2
1,5 63 2
1,6 65 1
1,7 42 3
1,8 14 0
1,9 2 0
1,10 9 2
1,11 10 1
2,0 1 3
2,1 64 2
2,2 51 1
2,3 40 1
2,4 48 0
2,5 39 3
2,6 70 0
2,7 58 0
2,8 31 3
2,9 11 0
2,10 25 0
2,11 18 1
3,0 45 3
3,1 60 0
3,2 46 3
3,3 41 0
3,4 29 0
3,5 52 2
3,6 62 1
3,7 55 3
3,8 6 1
3,9 12 3
3,10 15 3
3,11 21 1
4,0 16 3
4,1 24 0
4,2 33 2
4,3 26 1
4,4 34 1
4,5 50 2
4,6 43 0
4,7 19 1
4,8 3 2
4,9 5 1
4,10 8 0
4,11 20 1
5,0 32 2
5,1 54 2
5,2 71 2
5,3 57 2
5,4 72 2
5,5 53 2
5,6 69 2
5,7 49 2
5,8 35 2
5,9 30 2
5,10 4 2
5,11 7 1

# Unused pieces

