# Sauvegarde Eternity II
# Timestamp: 1763546438471
# Date: 2025-11-19_11-00-38
# Puzzle: indice2_descending_border
# Dimensions: 6x12
# Depth: 66
# Progress: 8,69047750% (estimation basée sur les 5 premières profondeurs)
# TotalComputeTime: 92 ms (0h 00m 00s)

# ═══════════════════════════════════════════════════════════
# AFFICHAGE VISUEL DU PLATEAU (66 pièces placées)
# ═══════════════════════════════════════════════════════════
#
#  32_3  53_0  72_0  61_0  16_0  45_0  59_0  17_0  54_0  10_0  47_0  28_0 
#  69_3  42_3  34_0  13_0   8_0  40_0  26_2  52_0  19_0  14_1  25_0  23_1 
#  49_3  33_3  50_1   .    41_2  43_0  66_1  63_3   .    31_3  29_1   4_1 
#  71_3   6_1   5_1   .     .    15_1  46_0  48_1  39_2  65_2   2_2  21_1 
#  57_3   3_1   9_0  51_0  55_2  12_0  11_0   .     .    38_0  24_3  20_1 
#  44_2  67_2  56_2  37_2  22_2  36_2  35_2  30_2  18_2  27_2   1_2   7_1 
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# PIÈCES FIXES (pré-placées au démarrage)
# ═══════════════════════════════════════════════════════════
#
# (aucune pièce fixe)
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# ORDRE DE POSE (backtracking) - 66 pièces
# ═══════════════════════════════════════════════════════════
#
# Étape  Position    Pièce  Rotation
# ────── ─────────── ────── ────────
#    1   ( 5,11)       7      1 (×90°)
#    2   ( 4,11)      20      1 (×90°)
#    3   ( 3,11)      21      1 (×90°)
#    4   ( 5,10)       1      2 (×90°)
#    5   ( 5, 9)      27      2 (×90°)
#    6   ( 5, 8)      18      2 (×90°)
#    7   ( 5, 7)      30      2 (×90°)
#    8   ( 5, 6)      35      2 (×90°)
#    9   ( 5, 5)      36      2 (×90°)
#   10   ( 2,11)       4      1 (×90°)
#   11   ( 5, 4)      22      2 (×90°)
#   12   ( 5, 3)      37      2 (×90°)
#   13   ( 1,11)      23      1 (×90°)
#   14   ( 0,11)      28      0 (×90°)
#   15   ( 0,10)      47      0 (×90°)
#   16   ( 0, 9)      10      0 (×90°)
#   17   ( 0, 8)      54      0 (×90°)
#   18   ( 0, 7)      17      0 (×90°)
#   19   ( 0, 6)      59      0 (×90°)
#   20   ( 0, 5)      45      0 (×90°)
#   21   ( 0, 4)      16      0 (×90°)
#   22   ( 0, 3)      61      0 (×90°)
#   23   ( 5, 2)      56      2 (×90°)
#   24   ( 5, 1)      67      2 (×90°)
#   25   ( 0, 0)      32      3 (×90°)
#   26   ( 5, 0)      44      2 (×90°)
#   27   ( 1, 0)      69      3 (×90°)
#   28   ( 2, 0)      49      3 (×90°)
#   29   ( 0, 2)      72      0 (×90°)
#   30   ( 4, 0)      57      3 (×90°)
#   31   ( 3, 0)      71      3 (×90°)
#   32   ( 0, 1)      53      0 (×90°)
#   33   ( 4, 1)       3      1 (×90°)
#   34   ( 4, 2)       9      0 (×90°)
#   35   ( 3, 1)       6      1 (×90°)
#   36   ( 3, 2)       5      1 (×90°)
#   37   ( 4, 6)      11      0 (×90°)
#   38   ( 4, 5)      12      0 (×90°)
#   39   ( 3, 5)      15      1 (×90°)
#   40   ( 1, 3)      13      0 (×90°)
#   41   ( 1, 9)      14      1 (×90°)
#   42   ( 1,10)      25      0 (×90°)
#   43   ( 2,10)      29      1 (×90°)
#   44   ( 2, 9)      31      3 (×90°)
#   45   ( 1, 4)       8      0 (×90°)
#   46   ( 1, 8)      19      0 (×90°)
#   47   ( 4,10)      24      3 (×90°)
#   48   ( 3,10)       2      2 (×90°)
#   49   ( 1, 1)      42      3 (×90°)
#   50   ( 1, 2)      34      0 (×90°)
#   51   ( 2, 1)      33      3 (×90°)
#   52   ( 2, 2)      50      1 (×90°)
#   53   ( 3, 6)      46      0 (×90°)
#   54   ( 1, 7)      52      0 (×90°)
#   55   ( 3, 9)      65      2 (×90°)
#   56   ( 4, 9)      38      0 (×90°)
#   57   ( 4, 3)      51      0 (×90°)
#   58   ( 4, 4)      55      2 (×90°)
#   59   ( 1, 6)      26      2 (×90°)
#   60   ( 1, 5)      40      0 (×90°)
#   61   ( 2, 5)      43      0 (×90°)
#   62   ( 2, 6)      66      1 (×90°)
#   63   ( 2, 7)      63      3 (×90°)
#   64   ( 3, 8)      39      2 (×90°)
#   65   ( 2, 4)      41      2 (×90°)
#   66   ( 3, 7)      48      1 (×90°)
#
# ═══════════════════════════════════════════════════════════

# Fixed Pieces (row,col pieceId rotation) - pré-placées

# Placement Order (row,col pieceId rotation) - ordre chronologique du backtracking
5,11 7 1
4,11 20 1
3,11 21 1
5,10 1 2
5,9 27 2
5,8 18 2
5,7 30 2
5,6 35 2
5,5 36 2
2,11 4 1
5,4 22 2
5,3 37 2
1,11 23 1
0,11 28 0
0,10 47 0
0,9 10 0
0,8 54 0
0,7 17 0
0,6 59 0
0,5 45 0
0,4 16 0
0,3 61 0
5,2 56 2
5,1 67 2
0,0 32 3
5,0 44 2
1,0 69 3
2,0 49 3
0,2 72 0
4,0 57 3
3,0 71 3
0,1 53 0
4,1 3 1
4,2 9 0
3,1 6 1
3,2 5 1
4,6 11 0
4,5 12 0
3,5 15 1
1,3 13 0
1,9 14 1
1,10 25 0
2,10 29 1
2,9 31 3
1,4 8 0
1,8 19 0
4,10 24 3
3,10 2 2
1,1 42 3
1,2 34 0
2,1 33 3
2,2 50 1
3,6 46 0
1,7 52 0
3,9 65 2
4,9 38 0
4,3 51 0
4,4 55 2
1,6 26 2
1,5 40 0
2,5 43 0
2,6 66 1
2,7 63 3
3,8 39 2
2,4 41 2
3,7 48 1

# Placements (row,col pieceId rotation)
0,0 32 3
0,1 53 0
0,2 72 0
0,3 61 0
0,4 16 0
0,5 45 0
0,6 59 0
0,7 17 0
0,8 54 0
0,9 10 0
0,10 47 0
0,11 28 0
1,0 69 3
1,1 42 3
1,2 34 0
1,3 13 0
1,4 8 0
1,5 40 0
1,6 26 2
1,7 52 0
1,8 19 0
1,9 14 1
1,10 25 0
1,11 23 1
2,0 49 3
2,1 33 3
2,2 50 1
2,4 41 2
2,5 43 0
2,6 66 1
2,7 63 3
2,9 31 3
2,10 29 1
2,11 4 1
3,0 71 3
3,1 6 1
3,2 5 1
3,5 15 1
3,6 46 0
3,7 48 1
3,8 39 2
3,9 65 2
3,10 2 2
3,11 21 1
4,0 57 3
4,1 3 1
4,2 9 0
4,3 51 0
4,4 55 2
4,5 12 0
4,6 11 0
4,9 38 0
4,10 24 3
4,11 20 1
5,0 44 2
5,1 67 2
5,2 56 2
5,3 37 2
5,4 22 2
5,5 36 2
5,6 35 2
5,7 30 2
5,8 18 2
5,9 27 2
5,10 1 2
5,11 7 1

# Unused pieces
68 62 58 70 60 64 
