# Sauvegarde Eternity II
# Timestamp: 1763546464992
# Date: 2025-11-19_11-01-04
# Puzzle: indice4_ascending
# Dimensions: 6x12
# Depth: 72
# Progress: 7,15487369% (estimation basée sur les 5 premières profondeurs)
# TotalComputeTime: 145 ms (0h 00m 00s)

# ═══════════════════════════════════════════════════════════
# AFFICHAGE VISUEL DU PLATEAU (72 pièces placées)
# ═══════════════════════════════════════════════════════════
#
#  69_3  20_0  41_0  27_0  53_0  45_0  54_0  71_0  47_0  60_0  49_0  12_0 
#  62_3  10_3  17_3  16_1  28_1  63_0  70_0  46_2  66_0  51_1  39_1  72_1 
#  61_3  18_3  30_1  38_0  58_2  35_0  40_1  48_2  25_0  55_0  14_2  64_1 
#  19_3   2_1  33_0  68_2  21_1  15_3  23_2  22_1   7_0  13_2  11_3  44_1 
#   3_3   4_3  59_2  26_2  43_2  34_1   1_2  31_2   8_0   9_3   5_2  24_1 
#  56_2  29_2  36_2  37_2  50_2  57_2  67_2  65_2  32_2  52_2  42_2   6_1 
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# PIÈCES FIXES (pré-placées au démarrage)
# ═══════════════════════════════════════════════════════════
#
# (aucune pièce fixe)
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# ORDRE DE POSE (backtracking) - 72 pièces
# ═══════════════════════════════════════════════════════════
#
# Étape  Position    Pièce  Rotation
# ────── ─────────── ────── ────────
#    1   ( 5,11)       6      1 (×90°)
#    2   ( 0,11)      12      0 (×90°)
#    3   ( 5, 0)      56      2 (×90°)
#    4   ( 0, 0)      69      3 (×90°)
#    5   ( 4, 0)       3      3 (×90°)
#    6   ( 5, 1)      29      2 (×90°)
#    7   ( 3, 0)      19      3 (×90°)
#    8   ( 4,11)      24      1 (×90°)
#    9   ( 3,11)      44      1 (×90°)
#   10   ( 2,11)      64      1 (×90°)
#   11   ( 1,11)      72      1 (×90°)
#   12   ( 0, 1)      20      0 (×90°)
#   13   ( 5, 2)      36      2 (×90°)
#   14   ( 5, 3)      37      2 (×90°)
#   15   ( 5, 4)      50      2 (×90°)
#   16   ( 0, 2)      41      0 (×90°)
#   17   ( 0, 3)      27      0 (×90°)
#   18   ( 0, 4)      53      0 (×90°)
#   19   ( 0, 5)      45      0 (×90°)
#   20   ( 0, 6)      54      0 (×90°)
#   21   ( 0, 7)      71      0 (×90°)
#   22   ( 0, 8)      47      0 (×90°)
#   23   ( 5, 5)      57      2 (×90°)
#   24   ( 5, 6)      67      2 (×90°)
#   25   ( 5, 7)      65      2 (×90°)
#   26   ( 5, 8)      32      2 (×90°)
#   27   ( 5, 9)      52      2 (×90°)
#   28   ( 5,10)      42      2 (×90°)
#   29   ( 0, 9)      60      0 (×90°)
#   30   ( 2, 0)      61      3 (×90°)
#   31   ( 1, 0)      62      3 (×90°)
#   32   ( 0,10)      49      0 (×90°)
#   33   ( 4, 6)       1      2 (×90°)
#   34   ( 4, 1)       4      3 (×90°)
#   35   ( 3, 1)       2      1 (×90°)
#   36   ( 4,10)       5      2 (×90°)
#   37   ( 4, 9)       9      3 (×90°)
#   38   ( 4, 8)       8      0 (×90°)
#   39   ( 4, 7)      31      2 (×90°)
#   40   ( 3,10)      11      3 (×90°)
#   41   ( 1, 1)      10      3 (×90°)
#   42   ( 2, 1)      18      3 (×90°)
#   43   ( 3, 9)      13      2 (×90°)
#   44   ( 3, 8)       7      0 (×90°)
#   45   ( 3, 7)      22      1 (×90°)
#   46   ( 1, 2)      17      3 (×90°)
#   47   ( 1, 3)      16      1 (×90°)
#   48   ( 1, 4)      28      1 (×90°)
#   49   ( 2, 2)      30      1 (×90°)
#   50   ( 1,10)      39      1 (×90°)
#   51   ( 2,10)      14      2 (×90°)
#   52   ( 4, 5)      34      1 (×90°)
#   53   ( 3, 6)      23      2 (×90°)
#   54   ( 3, 5)      15      3 (×90°)
#   55   ( 3, 4)      21      1 (×90°)
#   56   ( 4, 4)      43      2 (×90°)
#   57   ( 4, 3)      26      2 (×90°)
#   58   ( 4, 2)      59      2 (×90°)
#   59   ( 3, 2)      33      0 (×90°)
#   60   ( 3, 3)      68      2 (×90°)
#   61   ( 2, 3)      38      0 (×90°)
#   62   ( 2, 4)      58      2 (×90°)
#   63   ( 2, 5)      35      0 (×90°)
#   64   ( 1, 5)      63      0 (×90°)
#   65   ( 2, 6)      40      1 (×90°)
#   66   ( 1, 6)      70      0 (×90°)
#   67   ( 1, 9)      51      1 (×90°)
#   68   ( 2, 9)      55      0 (×90°)
#   69   ( 2, 8)      25      0 (×90°)
#   70   ( 1, 7)      46      2 (×90°)
#   71   ( 1, 8)      66      0 (×90°)
#   72   ( 2, 7)      48      2 (×90°)
#
# ═══════════════════════════════════════════════════════════

# Fixed Pieces (row,col pieceId rotation) - pré-placées

# Placement Order (row,col pieceId rotation) - ordre chronologique du backtracking
5,11 6 1
0,11 12 0
5,0 56 2
0,0 69 3
4,0 3 3
5,1 29 2
3,0 19 3
4,11 24 1
3,11 44 1
2,11 64 1
1,11 72 1
0,1 20 0
5,2 36 2
5,3 37 2
5,4 50 2
0,2 41 0
0,3 27 0
0,4 53 0
0,5 45 0
0,6 54 0
0,7 71 0
0,8 47 0
5,5 57 2
5,6 67 2
5,7 65 2
5,8 32 2
5,9 52 2
5,10 42 2
0,9 60 0
2,0 61 3
1,0 62 3
0,10 49 0
4,6 1 2
4,1 4 3
3,1 2 1
4,10 5 2
4,9 9 3
4,8 8 0
4,7 31 2
3,10 11 3
1,1 10 3
2,1 18 3
3,9 13 2
3,8 7 0
3,7 22 1
1,2 17 3
1,3 16 1
1,4 28 1
2,2 30 1
1,10 39 1
2,10 14 2
4,5 34 1
3,6 23 2
3,5 15 3
3,4 21 1
4,4 43 2
4,3 26 2
4,2 59 2
3,2 33 0
3,3 68 2
2,3 38 0
2,4 58 2
2,5 35 0
1,5 63 0
2,6 40 1
1,6 70 0
1,9 51 1
2,9 55 0
2,8 25 0
1,7 46 2
1,8 66 0
2,7 48 2

# Placements (row,col pieceId rotation)
0,0 69 3
0,1 20 0
0,2 41 0
0,3 27 0
0,4 53 0
0,5 45 0
0,6 54 0
0,7 71 0
0,8 47 0
0,9 60 0
0,10 49 0
0,11 12 0
1,0 62 3
1,1 10 3
1,2 17 3
1,3 16 1
1,4 28 1
1,5 63 0
1,6 70 0
1,7 46 2
1,8 66 0
1,9 51 1
1,10 39 1
1,11 72 1
2,0 61 3
2,1 18 3
2,2 30 1
2,3 38 0
2,4 58 2
2,5 35 0
2,6 40 1
2,7 48 2
2,8 25 0
2,9 55 0
2,10 14 2
2,11 64 1
3,0 19 3
3,1 2 1
3,2 33 0
3,3 68 2
3,4 21 1
3,5 15 3
3,6 23 2
3,7 22 1
3,8 7 0
3,9 13 2
3,10 11 3
3,11 44 1
4,0 3 3
4,1 4 3
4,2 59 2
4,3 26 2
4,4 43 2
4,5 34 1
4,6 1 2
4,7 31 2
4,8 8 0
4,9 9 3
4,10 5 2
4,11 24 1
5,0 56 2
5,1 29 2
5,2 36 2
5,3 37 2
5,4 50 2
5,5 57 2
5,6 67 2
5,7 65 2
5,8 32 2
5,9 52 2
5,10 42 2
5,11 6 1

# Unused pieces

