# Sauvegarde Eternity II
# Timestamp: 1763546465236
# Date: 2025-11-19_11-01-05
# Puzzle: indice4_ascending_border
# Dimensions: 6x12
# Depth: 67
# Progress: 7,38651074% (estimation basée sur les 5 premières profondeurs)
# TotalComputeTime: 105 ms (0h 00m 00s)

# ═══════════════════════════════════════════════════════════
# AFFICHAGE VISUEL DU PLATEAU (67 pièces placées)
# ═══════════════════════════════════════════════════════════
#
#  69_3  57_0  53_0  49_0  71_0  47_0  61_0  41_0  45_0  20_0  29_0  56_0 
#  54_3  10_3   9_1  25_0  38_3  31_1  22_1  59_1  43_1  35_1  34_0  52_1 
#  65_3   7_1  16_2  33_3  13_1   .     .    40_2  26_1  23_2  39_3  64_1 
#  72_3  17_2   2_1  21_2   .    55_0  58_3  18_2  51_2  70_0   4_3  44_1 
#  67_3  15_3   5_0   1_0   .     .    48_2  63_1  14_1  11_2   8_0  24_1 
#  12_2  62_2  37_2  36_2  50_2  27_2  60_2  19_2   3_2  42_2  32_2   6_1 
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# PIÈCES FIXES (pré-placées au démarrage)
# ═══════════════════════════════════════════════════════════
#
# (aucune pièce fixe)
#
# ═══════════════════════════════════════════════════════════

# ═══════════════════════════════════════════════════════════
# ORDRE DE POSE (backtracking) - 67 pièces
# ═══════════════════════════════════════════════════════════
#
# Étape  Position    Pièce  Rotation
# ────── ─────────── ────── ────────
#    1   ( 5,11)       6      1 (×90°)
#    2   ( 4,11)      24      1 (×90°)
#    3   ( 3,11)      44      1 (×90°)
#    4   ( 2,11)      64      1 (×90°)
#    5   ( 5,10)      32      2 (×90°)
#    6   ( 5, 9)      42      2 (×90°)
#    7   ( 1,11)      52      1 (×90°)
#    8   ( 0,11)      56      0 (×90°)
#    9   ( 5, 8)       3      2 (×90°)
#   10   ( 0,10)      29      0 (×90°)
#   11   ( 5, 7)      19      2 (×90°)
#   12   ( 5, 6)      60      2 (×90°)
#   13   ( 5, 5)      27      2 (×90°)
#   14   ( 5, 4)      50      2 (×90°)
#   15   ( 5, 3)      36      2 (×90°)
#   16   ( 0, 9)      20      0 (×90°)
#   17   ( 0, 8)      45      0 (×90°)
#   18   ( 0, 7)      41      0 (×90°)
#   19   ( 0, 6)      61      0 (×90°)
#   20   ( 0, 5)      47      0 (×90°)
#   21   ( 0, 4)      71      0 (×90°)
#   22   ( 5, 2)      37      2 (×90°)
#   23   ( 5, 1)      62      2 (×90°)
#   24   ( 5, 0)      12      2 (×90°)
#   25   ( 0, 0)      69      3 (×90°)
#   26   ( 0, 3)      49      0 (×90°)
#   27   ( 1, 0)      54      3 (×90°)
#   28   ( 2, 0)      65      3 (×90°)
#   29   ( 0, 2)      53      0 (×90°)
#   30   ( 4, 0)      67      3 (×90°)
#   31   ( 0, 1)      57      0 (×90°)
#   32   ( 3, 0)      72      3 (×90°)
#   33   ( 4, 1)      15      3 (×90°)
#   34   ( 4, 2)       5      0 (×90°)
#   35   ( 4,10)       8      0 (×90°)
#   36   ( 3,10)       4      3 (×90°)
#   37   ( 4, 3)       1      0 (×90°)
#   38   ( 3, 3)      21      2 (×90°)
#   39   ( 3, 2)       2      1 (×90°)
#   40   ( 3, 1)      17      2 (×90°)
#   41   ( 2, 1)       7      1 (×90°)
#   42   ( 1, 1)      10      3 (×90°)
#   43   ( 1, 2)       9      1 (×90°)
#   44   ( 2, 2)      16      2 (×90°)
#   45   ( 4, 9)      11      2 (×90°)
#   46   ( 4, 8)      14      1 (×90°)
#   47   ( 1, 3)      25      0 (×90°)
#   48   ( 2, 3)      33      3 (×90°)
#   49   ( 1, 4)      38      3 (×90°)
#   50   ( 2,10)      39      3 (×90°)
#   51   ( 1,10)      34      0 (×90°)
#   52   ( 1, 5)      31      1 (×90°)
#   53   ( 1, 9)      35      1 (×90°)
#   54   ( 2, 4)      13      1 (×90°)
#   55   ( 1, 6)      22      1 (×90°)
#   56   ( 2, 9)      23      2 (×90°)
#   57   ( 3, 9)      70      0 (×90°)
#   58   ( 3, 8)      51      2 (×90°)
#   59   ( 1, 8)      43      1 (×90°)
#   60   ( 2, 8)      26      1 (×90°)
#   61   ( 1, 7)      59      1 (×90°)
#   62   ( 2, 7)      40      2 (×90°)
#   63   ( 3, 7)      18      2 (×90°)
#   64   ( 4, 7)      63      1 (×90°)
#   65   ( 4, 6)      48      2 (×90°)
#   66   ( 3, 5)      55      0 (×90°)
#   67   ( 3, 6)      58      3 (×90°)
#
# ═══════════════════════════════════════════════════════════

# Fixed Pieces (row,col pieceId rotation) - pré-placées

# Placement Order (row,col pieceId rotation) - ordre chronologique du backtracking
5,11 6 1
4,11 24 1
3,11 44 1
2,11 64 1
5,10 32 2
5,9 42 2
1,11 52 1
0,11 56 0
5,8 3 2
0,10 29 0
5,7 19 2
5,6 60 2
5,5 27 2
5,4 50 2
5,3 36 2
0,9 20 0
0,8 45 0
0,7 41 0
0,6 61 0
0,5 47 0
0,4 71 0
5,2 37 2
5,1 62 2
5,0 12 2
0,0 69 3
0,3 49 0
1,0 54 3
2,0 65 3
0,2 53 0
4,0 67 3
0,1 57 0
3,0 72 3
4,1 15 3
4,2 5 0
4,10 8 0
3,10 4 3
4,3 1 0
3,3 21 2
3,2 2 1
3,1 17 2
2,1 7 1
1,1 10 3
1,2 9 1
2,2 16 2
4,9 11 2
4,8 14 1
1,3 25 0
2,3 33 3
1,4 38 3
2,10 39 3
1,10 34 0
1,5 31 1
1,9 35 1
2,4 13 1
1,6 22 1
2,9 23 2
3,9 70 0
3,8 51 2
1,8 43 1
2,8 26 1
1,7 59 1
2,7 40 2
3,7 18 2
4,7 63 1
4,6 48 2
3,5 55 0
3,6 58 3

# Placements (row,col pieceId rotation)
0,0 69 3
0,1 57 0
0,2 53 0
0,3 49 0
0,4 71 0
0,5 47 0
0,6 61 0
0,7 41 0
0,8 45 0
0,9 20 0
0,10 29 0
0,11 56 0
1,0 54 3
1,1 10 3
1,2 9 1
1,3 25 0
1,4 38 3
1,5 31 1
1,6 22 1
1,7 59 1
1,8 43 1
1,9 35 1
1,10 34 0
1,11 52 1
2,0 65 3
2,1 7 1
2,2 16 2
2,3 33 3
2,4 13 1
2,7 40 2
2,8 26 1
2,9 23 2
2,10 39 3
2,11 64 1
3,0 72 3
3,1 17 2
3,2 2 1
3,3 21 2
3,5 55 0
3,6 58 3
3,7 18 2
3,8 51 2
3,9 70 0
3,10 4 3
3,11 44 1
4,0 67 3
4,1 15 3
4,2 5 0
4,3 1 0
4,6 48 2
4,7 63 1
4,8 14 1
4,9 11 2
4,10 8 0
4,11 24 1
5,0 12 2
5,1 62 2
5,2 37 2
5,3 36 2
5,4 50 2
5,5 27 2
5,6 60 2
5,7 19 2
5,8 3 2
5,9 42 2
5,10 32 2
5,11 6 1

# Unused pieces
28 30 46 66 68 
